,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
22,1yzRHp7bEhYHhpEU8ji8Y9,Gung,TNT,"['TNT', 'Technoboy', 'Tuneboy']",0.558,0.985,1,-3.191,1,0.00469,5.29e-05,0.297,0.612,149.992,212429,4,128,10,887
23,3QFVJxsqDK6ThOX5CLSBOM,Power Of Perception (Reverze Anthem 2020),Coone,"['Coone', 'Da Tweekaz', 'Hard Driver']",0.414,0.91,1,-5.117,0,0.00758,0.000791,0.078,0.138,149.743,281453,4,173,13,989
24,6eyuU00bw19YhHGhvbLKcr,Hurricane,Ran-D,['Ran-D'],0.577,0.978,8,-1.561,0,0.0321,0.0,0.34,0.365,155.234,295647,4,190,11,1117
25,2MxsTNQvvAJuuHK1V6nMQV,World Out There,D-Sturb,['D-Sturb'],0.47,0.974,6,-2.916,0,0.000764,8.19e-06,0.4,0.321,154.989,202495,4,128,10,728
26,5zpE5HInlIIxJpnjEZ3FwU,Making Memories,JDX,['JDX'],0.449,0.754,1,-11.513,0,0.000649,3.24e-05,0.794,0.232,149.861,226000,4,137,11,755
27,793EkBVuRQKkRHnuXKANtd,Loud - Radio Edit,Frontliner,"['Frontliner', 'John Harris']",0.514,0.785,1,-4.238,0,0.0084,1.23e-06,0.343,0.201,149.984,201692,4,122,6,738
28,2rPj7LoFWCYE0i3bqF73eS,Superman,Coone,"['Coone', 'Jelle van Dael']",0.524,0.885,4,-3.686,0,0.0782,2.53e-05,0.126,0.186,149.896,222400,4,137,11,683
29,3pVVFQ4D1yRBpztapn2hHG,Lose My Mind - Radio Edit,Wildstylez,"['Wildstylez', 'Brennan Heart']",0.522,0.819,0,-4.493,1,0.00243,0.00343,0.307,0.374,75.02,183267,4,56,8,651
30,0YVx5YZIgfYHzlq19hqDeE,Angels & Demons,Ghost Stories,"['Ghost Stories', 'D-Block & S-te-Fan']",0.485,0.772,4,-2.966,0,0.0951,2e-06,0.105,0.203,150.111,179200,4,107,11,553
31,0XEvd0g6DDFWM0eGJvfCZM,So Good,Da Tweekaz,"['Da Tweekaz', 'Refuzion']",0.532,0.963,10,-4.439,0,0.00526,9.39e-05,0.208,0.512,154.985,177754,4,112,9,626
32,2TgDK4TC5KsywTYafAE4Gd,Imaginary,Brennan Heart,"['Brennan Heart', 'Jonathan Mendelsohn']",0.552,0.594,2,-6.449,1,0.298,6.17e-05,0.262,0.287,149.907,192500,4,114,8,702
33,1umoIL3ShVbbYdvtGZm8lY,Luminosity,Project One,['Project One'],0.507,0.72,9,-5.913,0,0.425,0.113,0.104,0.208,150.12,195600,4,122,9,662
34,6ir9zD1NGFdMhFvIrMoiMZ,You,Jacob Tillberg,['Jacob Tillberg'],0.587,0.788,1,-4.581,1,0.0147,7.84e-05,0.179,0.171,150.118,192004,4,112,11,648
35,5PSR3ul57ZNTQi4Al6xtUz,Release - Radio Edit,Atmozfears,"['Atmozfears', 'David Spekter']",0.483,0.683,2,-6.903,0,0.0105,0.000149,0.106,0.12,149.841,238421,4,145,13,753
36,3DoOHv1HM9Arrw5PofaF2S,For You,Sound Rush,['Sound Rush'],0.351,0.962,6,-2.877,0,0.0014,3.76e-05,0.329,0.186,75.398,236812,4,74,7,837
37,2TC7je10DQftOBez1PRDRC,World Is Mine,Audiotricz,"['Audiotricz', 'Villain']",0.554,0.869,7,-4.769,0,0.00925,0.000492,0.356,0.0988,150.146,164000,4,99,7,494
38,3b6ieVXywj9HJjcu16mr2J,Won't Hold Me Down (Gravity),Brennan Heart,"['Brennan Heart', 'Trevor Guthrie']",0.578,0.625,3,-3.885,0,0.122,0.0,0.0962,0.124,150.049,214400,4,130,9,688
39,0mWGz6hPTPuOK3SaETnqCo,Imagine,Bass Modulators,['Bass Modulators'],0.302,0.865,0,-3.216,1,0.0199,7.25e-06,0.328,0.152,150.082,244133,4,137,10,693
40,40SogcJlZY6xAocozYpDWj,Here I Come,Coone,"['Coone', 'Wildstylez']",0.567,0.882,9,-4.146,0,0.0112,2.88e-06,0.298,0.662,149.957,199200,4,120,11,703
41,3uJnYKR844kT7MLpm0cquz,Us Against The World (Da Tweekaz Remix),Darren Styles,['Darren Styles'],0.478,0.878,1,-3.431,0,0.0431,1.93e-05,0.0719,0.289,149.671,222400,4,136,10,777
42,7tniXeRpDkUhJ5WlBkcs6l,Promised Land,D-Block & S-te-Fan,['D-Block & S-te-Fan'],0.495,0.944,0,-1.727,0,0.0212,1.4e-06,0.273,0.381,149.924,227200,4,140,9,727
